filename,psnr,ssim,uiqm,uciqe
10909.png,26.2193,0.9508,9.7766,0.3493
10945.png,21.1543,0.8675,4.9578,0.3054
11052.png,25.3951,0.9521,11.7557,0.3498
11064.png,27.9566,0.9623,8.9919,0.3471
11374.png,25.5167,0.9622,7.2908,0.3336
11398.png,26.2123,0.9588,8.4949,0.3348
1225.png,28.7896,0.9769,11.9907,0.3431
12290.png,31.9204,0.9514,7.8104,0.2842
12336.png,32.0837,0.9800,10.8490,0.3208
12348.png,30.8249,0.9525,7.6720,0.2959
12422.png,32.4875,0.9820,10.5660,0.2919
12433.png,25.9291,0.9401,10.5163,0.2892
1407.png,26.1633,0.9616,10.0825,0.3583
1491.png,22.3927,0.9307,11.6763,0.3299
15001.png,29.3307,0.9677,8.6245,0.2519
15045.png,32.9002,0.9886,11.8227,0.2923
15094.png,26.7705,0.9616,11.8468,0.3205
15113.png,22.1462,0.9338,11.5550,0.3224
15136.png,30.8444,0.9756,11.4649,0.3272
1539.png,23.8324,0.9390,10.7981,0.3319
15418.png,24.4097,0.9462,11.0431,0.3402
15426.png,27.9469,0.9593,7.5556,0.3388
15704.png,24.9283,0.9580,10.2453,0.3086
1573.png,31.5066,0.9386,7.8771,0.3629
1660.png,32.4308,0.9865,10.9966,0.3056
1742.png,22.5530,0.9688,9.1444,0.2810
1957.png,20.5919,0.9130,11.3722,0.3236
208_img_.png,30.1507,0.9762,11.8940,0.3084
209_img_.png,21.7562,0.9161,12.5628,0.3358
210_img_.png,32.1797,0.9704,10.5785,0.3066
211_img_.png,32.1011,0.9830,12.3768,0.3210
212_img_.png,30.9604,0.9817,12.4082,0.3320
213_img_.png,25.7843,0.9268,10.6205,0.3183
2546.png,32.9455,0.9841,10.9828,0.3421
25_img_.png,23.9969,0.9457,11.3130,0.3125
2629.png,18.4527,0.8799,10.7442,0.3209
2677.png,22.1164,0.9395,11.0635,0.2950
26_img_.png,26.1919,0.9471,9.9485,0.3095
2701.png,25.6242,0.9488,12.3673,0.3373
2774.png,23.9396,0.9457,11.6917,0.3277
2787.png,33.1277,0.9842,6.6805,0.3837
2882.png,24.8379,0.9402,11.7156,0.2814
2977.png,25.3482,0.9553,10.8795,0.3434
3001.png,33.4553,0.9863,8.8994,0.3622
3015.png,24.9348,0.9592,9.8805,0.3277
3196.png,31.6299,0.9831,12.1712,0.3248
3202.png,33.9308,0.9874,7.9385,0.3312
3330.png,32.0675,0.9614,8.4084,0.3638
3650.png,26.3556,0.9571,10.5398,0.3451
3728.png,25.6183,0.9593,9.7907,0.3225
379_img_.png,27.3088,0.9794,7.9329,0.2542
380_img_.png,28.0974,0.9686,7.3756,0.1957
381_img_.png,35.2366,0.9897,9.5498,0.3623
382_img_.png,23.6835,0.9699,10.1359,0.2159
383_img_.png,25.3711,0.9540,11.0754,0.3187
3925.png,25.2533,0.9496,9.4710,0.3019
3947.png,27.5040,0.9563,7.5453,0.3178
4070.png,31.8449,0.9800,6.6299,0.3073
540_img_.png,35.9597,0.9872,10.6655,0.3063
541_img_.png,34.2392,0.9826,12.4453,0.3058
542_img_.png,24.1829,0.9493,12.5101,0.2369
543_img_.png,32.7890,0.9787,12.9911,0.3293
544_img_.png,37.7360,0.9850,6.7054,0.1639
5554.png,22.3588,0.9561,6.4577,0.2906
5818.png,26.4278,0.9817,3.8118,0.2438
5830.png,33.8192,0.9891,3.4401,0.2463
601_img_.png,27.7567,0.9707,13.4055,0.3406
602_img_.png,32.3326,0.9788,11.5752,0.3162
603_img_.png,33.3105,0.9887,12.0190,0.3286
604_img_.png,30.6849,0.9773,11.0582,0.3223
605_img_.png,27.1584,0.9550,11.4563,0.3248
6062.png,31.6364,0.9574,6.1120,0.3683
6082.png,29.7651,0.9855,4.4129,0.2729
6788.png,32.4423,0.9799,9.4092,0.2070
6820.png,36.1716,0.9810,7.6366,0.3426
8010.png,31.3882,0.9864,11.1403,0.3343
8046.png,32.6631,0.9857,9.5904,0.3136
82_img_.png,26.5593,0.9561,12.6460,0.3115
86_img_.png,15.9912,0.7996,8.0574,0.3126
87_img_.png,32.2104,0.9741,11.2991,0.3391
89_img_.png,32.9616,0.9842,8.9929,0.2626
90_img_.png,35.4028,0.9843,11.1646,0.3446
928_img_.png,22.0793,0.8287,9.8798,0.3760
929_img_.png,26.7056,0.9463,11.8660,0.3512
9547.png,23.0442,0.9556,9.6272,0.3149
9554.png,28.7930,0.9781,9.2025,0.3182
9557.png,28.2655,0.9702,10.7015,0.3291
9567.png,26.3940,0.9634,8.0446,0.3316
9896.png,27.1683,0.9337,8.7608,0.3537
9900.png,23.2979,0.9293,10.5789,0.3205
